sku,name,description,price
LAPTOP-001,Dell XPS 13,High-performance ultrabook with 13-inch display,999.99
LAPTOP-002,MacBook Pro,Apple's flagship professional laptop,1999.99
PHONE-001,iPhone 14,Latest smartphone from Apple,799.99
PHONE-002,Samsung Galaxy S23,Flagship Android smartphone,899.99
TABLET-001,iPad Air,Versatile tablet for work and play,599.99
WATCH-001,Apple Watch Series 8,Advanced smartwatch with health tracking,399.99
MOUSE-001,Logitech MX Master 3,Ergonomic wireless mouse,99.99
KEYBOARD-001,Mechanical Keyboard,RGB mechanical gaming keyboard,149.99
MONITOR-001,LG UltraWide 34,34-inch curved ultrawide monitor,599.99
HEADPHONE-001,Sony WH-1000XM5,Premium noise-cancelling headphones,349.99
SPEAKER-001,Sonos One,Smart speaker with voice control,199.99
CAMERA-001,Canon EOS R5,Professional mirrorless camera,3899.99
DRONE-001,DJI Mini 3 Pro,Compact drone with 4K camera,759.99
ROUTER-001,Netgear Nighthawk,High-performance WiFi 6 router,299.99
SSD-001,Samsung 980 Pro 1TB,Ultra-fast NVMe SSD,149.99



